,Code,Branch Name,Public
1,9ascp,~Akron-Summit County PL,FALSE
2,9cinc,~Cincinnati-Hamilton County Public Library,FALSE
3,9cler,~Clermont County Public Library,FALSE
4,9delo,~Delaware Co District Lib,FALSE
5,9geap,~Geauga Public Library,FALSE
6,9lane,~Lane Public Library,FALSE
7,9loui,~Louisville PL,FALSE
8,9lsvp,~Louisville Public Library,FALSE
9,9mass,~Massillon PL,FALSE
10,9ment,~Mentor PL,FALSE
11,9midp,~Midpointe Library System,FALSE
12,9mrpl,~Mansfield-Richland PL,FALSE
13,9msln,~Massillon Public Library,FALSE
14,9rodm,~Rodman PL,FALSE
15,9rrpl,~Rocky River Public Library,FALSE
16,9slic,~Stark Libs Info Consort,FALSE
17,9smfp,~Stow-Munroe Falls Public Library,FALSE
18,9star,~Stark County DL,FALSE
19,9wcpl,~Washington-Centerville Public Library,FALSE
20,9wppl,Westlake Porter Public Library,FALSE
21,aac,ArtArch Circulation,FALSE
22,aacls,ArtArch Clsd Stacks,FALSE
23,aacmp,ArtArch Laptops (Circulation),FALSE
24,aaeq,ArtArch Digital Equipment (Circulation),FALSE
25,aaff,ArtArch Oversize,FALSE
26,aafo,ArtArch Folio,FALSE
27,aagn,ArtArch Graphic Novels,FALSE
28,aags,ArtArch Group Study Rooms (Circulation),FALSE
29,aal,ART ARCHITECTURE,TRUE
30,aali,ArtArch,FALSE
31,aaml,ArtArch Materials Library,FALSE
32,aap,ArtArch Periodical,FALSE
33,aar,ArtArch Reference,FALSE
34,aarm,ArtArch CD-ROM,FALSE
35,aars,ArtArch Reserve,FALSE
36,aast,ArtArch Storage,FALSE
37,aasup,ArtArch Supplies (Circulation),FALSE
38,aavc,ArtArch Video Cass,FALSE
39,acq,King Acquisitions Dept.,FALSE
40,ak2ug,University of Akron,FALSE
41,an3bg,Antioch College,FALSE
42,arcli,Spec Archives,FALSE
43,as2ug,Ashland University,FALSE
44,at3ug,Athenaeum of Ohio,FALSE
45,au3bg,Antioch University,FALSE
46,be4tg,Belmont College,FALSE
47,bf1ug,Bluffton University,FALSE
48,bg1ug,Bowling Green State Univ,FALSE
49,bw3bg,Baldwin Wallace University,FALSE
,,,
,,Page 1,
50,ca2ug,Case Western Reserve Univ,FALSE
51,cat,King Catalog Dept.,FALSE
52,cb3bg,Cincinnati Christian Univ,FALSE
53,cc2mh,Cleveland Clinic,FALSE
