#    Location Patron Type        Item Type           Age Range Rule Number Active
1   halst    0,1,3,4,6,8,10-14, 21                            5           Y
             19,22                                                        
2   ?????    0,1,3-5,8-13,14,17 999                           15          Y
             ,19,22                                                       
3   ?????    2,7                999                           16          Y
4   ?????    10,11              999                           21          Y
5   ?????    10,11              0,11,19-20                    24          Y
6   ?????    200-205,212-217,22 001-011,013-018,021           21          Y
             0,221,223          -                                         
7   ?????    200-201,203-205,21 000,012,019,020,26,           22          Y
             0,212-217,220,221, 39,40                                     
             223                                                          
8   ?????    206,211            999                           21          Y
9   ?????    0-1,3-4,6-7,12-14, 200-206,209,219-223           20          Y
             17,19,22,210                                                 
10  ?????    0-4,6-7,13,14,17,1 207                           21          Y
             9,22                                                         
11  mdtr     0-14               999                           1           Y
12  ?????    0-4,6-7,12-14,17,1 208,212                       39          Y
             9,22,210                                                     
13  ?????    0,1,3-5,8-14,19,22 7,24,25                       3           Y
14  ?????    2,7                7,24,25                       2           Y
15  ?????    0,1,3-5,8-13,14,19 8,64,81                       3           N
             ,22                                                          
16  ?????    2,7                8,64,81                       4           N
17  ?????    2,7                9                             6           Y
18  ?????    0,1,3-5,8-13,14,19 9                             5           Y
             ,22                                                          
19  im*      1,14,22            9                             47          Y
20  im*      2,7                9                             48          Y
21  imvr     0,1,3-5,8-14,19,22 8                             95          Y
22  imrs     0,1,3-5,8-14,19    8                             95          Y
23  ?????    0,1,3-5,8-13,14,19 10                            7           Y
24  sceq     0,1,3-5,8-14,19    72,85                         94          Y
25  ?????    2,7                10                            8           Y
26  sceq     2,7                72,85                         94          Y
27  ?????    0,1,3-5,8-14,19    23                            27          Y
28  ?????    2,7                23                            28          Y
29  ?????    1,14               0,12,20                       13          Y
30  ?????    2,7                0,12,20                       14          N
31  ?????    2,7                0,12,20                       92          Y
32  ?????    0,3,4,12,17,19     0,12,20                       9           Y
33  ?????    0,3,4,8-12,19      18                            9           Y
34  ?????    5,13               18                            11          Y
35  ?????    2,7                18                            14          N
36  ?????    2,7                18                            92          Y
37  ?????    1,14               18                            13          Y
38  ?????    1,2,14             17                            23          Y
39  ?????    0-12,14,19         28                            35          Y

                                     Page 1
40  rg2ti    0-14               2                             47          Y
41  ?????    999                27                            15          Y
42  muli     0,3,4,8-12,19      12                            9           N
43  muli     1,14               12                            13          Y
44  muli     2,7                12                            14          N
45  muli     2,7                12                            92          Y
46  muli     5,13               0,12                          11          Y
47  imci     1,14               0-13                          9           Y
48  sceq     0,1,3-5,8-14,19    43,73,84                      1           Y
49  sceq     2,7                43,73,84                      2           Y
50  scli     5,13               0                             11          Y
51  ?????    999                25                            33          N
52  imj*     0,1,3,4,12,14,19   0,022                         9           Y
53  imj*     5,13               0,022                         11          Y
54  imj*     2,7                0,022                         10          Y
55  hanb     0,1,3,4,8-14,19    0,2,14-17                     15          Y
56  hanb     2,7                0,2,14-17                     10          Y
57  mdim     0,1,3,4,12,14,19   0-3,6,14-17                   9           Y
58  mdim     13                 0-3,6,14-17                   11          Y
59  mdim     2,7                0-3,6,14-17                   10          Y
60  mdim     0,1,3,4,12,19      50                            9           Y
61  mdim     13                 50                            11          Y
62  mdim     2,7                50                            10          Y
63  murcv    0,1,3,12,14        0,2,3                         5           Y
64  murcd    0,1,3,12,13,14     0,2,3,39                      5           N
65  murcv    0,1,3,12,13,14     1                             7           Y
66  murcv    2,7                0-3                           18          Y
67  murc     0,1,3,14           0-3                           9           Y
68  murc     2,7                0-3                           10          Y
69  alum     0,3,4,12,19        0                             9           N
70  alum     5,13               0                             11          N
71  kngeq    2,7                48,57,67,72-75,77-7           6           Y
                                9,85                                      
72  scc*     1                  33                            50          N
73  scc      2,7                18                            28          Y
74  scc      0,1,3,12,14        18                            27          Y
75  scc*     2,7                33                            51          N
76  scf*     2,7                0                             92          Y
77  scf*     0,3,12-14          0                             9           Y
78  scst     5,13               999                           11          Y
79  scst     0,3-5,8-12,19      999                           9           Y
80  scst     1,14               999                           13          Y
81  scst     2,7                999                           14          N
82  scst     2,7                999                           92          Y
83  hach     0,1,3,4,8-14,19    0,22                          9           N
84  hach     2,7                0,22                          14          N
85  kngeq    0,1,2,3-6,7,14     48,53,57,67,72-75,7           94          Y
                                7-79,85                                   
86  hach     2,7                0,22                          92          N
87  mdju     0,1,3,4,9-14,19    0,22                          9           Y
88  mdju     2,7                0,22                          10          Y
89  mdrc     0,1,3,4,12,14,19   0,1,2,3                       9           Y
90  aacmp    2,7                34,63                         54          Y
91  aacmp    0,1,3-5,8-14,19    34,63                         49          Y
92  aaeq     01-14              36,73,79                      117         N
93  kngli    5,13               0                             11          Y
94  aaeq     0-14               36,46,73,79                   117         N
95  kngli    0,1,2,3,14         24                            23          N

                                     Page 2
96  ?????    0,3-5,8-13,19      26                            9           Y
97  ?????    1,14               26                            13          Y
98  ?????    2,7                26                            14          N
99  ?????    2,7                26                            92          Y
100 knggs    2,7                8,24                          34          Y
101 knggs    0,1,3-5,8-14,19    24                            35          N
102 kngpc    2,7                24                            34          N
103 kngpc    0,1,3-5,8-14,19    24                            35          N
104 ?????    46                 999                           19          Y
105 aasup    0,1,3-5,8-14,19    64                            3           Y
106 aasup    2,7                64                            4           Y
107 imat     0-1,3-4,12,14,19   2                             9           Y
108 imat     2,7                2                             10          Y
109 imat     5,13               2                             11          Y
110 imbk     0-1,3-4,12,14      0,22                          9           Y
111 imbk     2,7                0,22                          10          Y
112 imbk     5,13               0,22                          11          Y
113 imfs     0-1,3-4,12,14      2                             9           N
114 imfs     2,7                2                             10          N
115 imfs     5,13               2                             11          N
116 immp     0-1,3-4,12,14      2                             9           N
117 immp     2,7                2                             10          N
118 immp     5,13               2                             11          N
119 imm      0-1,3-4,12,14      2,18                          9           Y
120 imm      2,7                2,18                          10          Y
121 imm      5,13               2,18                          11          Y
122 kngln    2,7                8                             4           N
123 kngln    0-14               8                             90          Y
124 imbkt    0-1,13,14          0,2,20,22                     45          Y
125 imbkt    2,7                0,2,20,22                     46          Y
126 imbkt    3-6,8-12           0,2,20,22                     15          Y
127 imtr     0-1,3-4,12,14      2                             9           N
128 sckng    0-14               999                           9           Y
129 imtr     2,7                2                             10          N
130 imfmn    2,7                0                             16          Y
131 imtr     5,13               2                             11          N
132 imfca    2,7                0                             16          Y
133 ?????    0,2,1,14           34,80,86,89                   49          Y
134 rgst*    4,8                0-4,11-12,14-20,22            9           Y
135 imvc     0-1,3-4,12,14      999                           47          Y
136 hacmp    2,7                9,34                          103         N
137 imvc     0-1,3-4,12,14      8                             3           Y
138 haeq     0,1,3,14           36,43,45,46,49,53,5           121         N
                                4,55,56,63,67,73,74                       
                                ,81,83,84                                 
139 haeq     2,7                36,43,45,46,49,53,5           122         Y
                                4,55,56,63,67,73,74                       
                                ,81,83,84                                 
140 hacmp    2,7                9,55                          116         N
141 imvc     2,7                999                           48          Y
142 hacmp    2,7                9,34,55                       122         Y
143 hags     2,7                8,9                           4           Y
144 imvc     5,13               999                           47          Y
145 imvcs    2,7                999                           48          N
146 imvcs    0-1,3-4,12,14      999                           47          N
147 imvcs    5,13               999                           47          N
148 imvc     5,13               8                             3           Y
149 imdvd    0-1,3-5,12-14      2                             47          Y

                                     Page 3
150 imdvd    2,7                2                             48          Y
151 imrs     2,7                35                            48          N
152 imrs     0-1,3,4,12,14      35                            47          N
153 imrs     2,7                8                             52          Y
154 ?????    0,3,4,12           019                           9           Y
155 ?????    1,14               019                           13          Y
156 ?????    2,7                019                           14          N
157 ?????    2,7                019                           92          Y
158 ?????    5,8,9,13           019                           11          Y
159 kngc     5,13               0                             11          Y
160 kngl     5,13               0                             11          Y
161 imci     1,14               0-13,18                       9           Y
162 imci     2,7                0-13,18                       10          Y
163 imci     5,13               0-13,18                       11          Y
164 imcir    1,14               0-13                          9           N
165 imcir    2,7                0-13                          10          N
166 imcir    5,13               0-13                          11          N
167 alumf    5,13               0                             11          N
168 scl      5,13               0                             11          Y
169 aac      5,13               0                             11          N
170 aali     5,13               0                             11          Y
171 hacmp    0,1,3,14           9,34,55                       121         Y
172 aal      5,13               0                             11          N
173 game1    2,7                9                             6           Y
